
2  54.85689700  008.40998300      0   387  25    0.0 SLT  SYLT NDB
4  54.92084400  008.33102800     32 11150  12     324.519 IWES EDXW 32  ILS-cat-I
6  54.90653300  008.35113900     30 11150  10  300324.526 IWES EDXW 32  GS
7  54.85689700  008.40998300     51     0   0     324.526 ---- EDXW 32  OM
8  54.89727800  008.36025300     51     0   0     324.526 ---- EDXW 32  MM
12  54.91053600  008.33970800    49 11150  18       0.600 IWES EDXW 32  DME-ILS
13  54.91054200  008.33990000    49 11150  25     0.0 WES  WESTERLAND DME
99
